application_date,segment,branch_id,state,zone,case_count
01-04-2017,2,,ASSAM,,0
02-04-2017,2,,ASSAM,,0
03-04-2017,2,,ASSAM,,0
04-04-2017,2,,ASSAM,,0
05-04-2017,2,,ASSAM,,0
06-04-2017,2,,ASSAM,,0
07-04-2017,2,,ASSAM,,0
08-04-2017,2,,ASSAM,,0
09-04-2017,2,,ASSAM,,0
10-04-2017,2,,ASSAM,,0
11-04-2017,2,,ASSAM,,0
12-04-2017,2,,ASSAM,,0
13-04-2017,2,,ASSAM,,0
14-04-2017,2,,ASSAM,,0
15-04-2017,2,,ASSAM,,0
16-04-2017,2,,ASSAM,,0
17-04-2017,2,,ASSAM,,0
18-04-2017,2,,ASSAM,,0
19-04-2017,2,,ASSAM,,0
20-04-2017,2,,ASSAM,,0
21-04-2017,2,,ASSAM,,0
22-04-2017,2,,ASSAM,,0
23-04-2017,2,,ASSAM,,0
24-04-2017,2,,ASSAM,,0
25-04-2017,2,,ASSAM,,0
26-04-2017,2,,ASSAM,,0
27-04-2017,2,,ASSAM,,0
28-04-2017,2,,ASSAM,,0
29-04-2017,2,,ASSAM,,0
30-04-2017,2,,ASSAM,,0
01-05-2017,2,,ASSAM,,0
02-05-2017,2,,ASSAM,,0
03-05-2017,2,,ASSAM,,0
04-05-2017,2,,ASSAM,,0
05-05-2017,2,,ASSAM,,0
06-05-2017,2,,ASSAM,,0
07-05-2017,2,,ASSAM,,0
08-05-2017,2,,ASSAM,,0
09-05-2017,2,,ASSAM,,0
10-05-2017,2,,ASSAM,,0
11-05-2017,2,,ASSAM,,0
12-05-2017,2,,ASSAM,,0
13-05-2017,2,,ASSAM,,0
14-05-2017,2,,ASSAM,,0
15-05-2017,2,,ASSAM,,0
16-05-2017,2,,ASSAM,,0
17-05-2017,2,,ASSAM,,0
18-05-2017,2,,ASSAM,,0
19-05-2017,2,,ASSAM,,0
20-05-2017,2,,ASSAM,,0
21-05-2017,2,,ASSAM,,0
22-05-2017,2,,ASSAM,,0
23-05-2017,2,,ASSAM,,0
24-05-2017,2,,ASSAM,,0
25-05-2017,2,,ASSAM,,0
26-05-2017,2,,ASSAM,,0
27-05-2017,2,,ASSAM,,0
28-05-2017,2,,ASSAM,,0
